,exchange_symbol,root_symbol,instrument_name,underlying_name,underlying_asset_class_id,settle_start,settle_end,settle_method,settle_timezone,final_settle_start,final_settle_end,final_settle_method,final_settle_timezone,last_trade_time,quote_currency_id,multiplier,tick_size,start_date,end_date,first_trade,last_trade,first_position,last_position,first_notice,last_notice,first_delivery,last_delivery,settlement_date,volume_switch_date,open_interest_switch_date,auto_close_date,parent_calendar_id,child_calendar_id,average_pricing,deliverable,delivery_month,delivery_year
0,ZN_H90,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1989-06-20,1990-03-21,1989-06-20,1990-03-21,1990-02-27,1990-03-29,1990-02-28,1990-03-30,1990-03-01,1990-04-02,,,,first_notice,XCME,,,1.0,3,1990
1,ZN_M90,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1989-09-20,1990-06-20,1989-09-20,1990-06-20,1990-05-30,1990-06-28,1990-05-31,1990-06-29,1990-06-01,1990-07-02,,,,first_notice,XCME,,,1.0,6,1990
2,ZN_U90,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1989-12-19,1990-09-19,1989-12-19,1990-09-19,1990-08-30,1990-09-27,1990-08-31,1990-09-28,1990-09-03,1990-10-01,,,,first_notice,XCME,,,1.0,9,1990
3,ZN_Z90,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1990-03-21,1990-12-18,1990-03-21,1990-12-18,1990-11-29,1990-12-27,1990-11-30,1990-12-28,1990-12-03,1990-12-31,,,,first_notice,XCME,,,1.0,12,1990
4,ZN_H91,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1990-06-20,1991-03-19,1990-06-20,1991-03-19,1991-02-27,1991-03-27,1991-02-28,1991-03-28,1991-03-01,1991-04-01,,,,first_notice,XCME,,,1.0,3,1991
5,ZN_M91,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1990-09-19,1991-06-19,1990-09-19,1991-06-19,1991-05-30,1991-06-27,1991-05-31,1991-06-28,1991-06-03,1991-07-01,,,,first_notice,XCME,,,1.0,6,1991
6,ZN_U91,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1990-12-18,1991-09-18,1990-12-18,1991-09-18,1991-08-29,1991-09-26,1991-08-30,1991-09-27,1991-09-02,1991-09-30,,,,first_notice,XCME,,,1.0,9,1991
7,ZN_Z91,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1991-03-19,1991-12-18,1991-03-19,1991-12-18,1991-11-28,1991-12-27,1991-11-29,1991-12-30,1991-12-02,1991-12-31,,,,first_notice,XCME,,,1.0,12,1991
8,ZN_H92,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1991-06-19,1992-03-19,1991-06-19,1992-03-19,1992-02-27,1992-03-27,1992-02-28,1992-03-30,1992-03-02,1992-03-31,,,,first_notice,XCME,,,1.0,3,1992
9,ZN_M92,ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,1.0,13:59,14:00,vwap,exch,12:00,12:01,Delivery,exch,12:01,USD,1000.0,0.015625,1991-09-18,1992-06-18,1991-09-18,1992-06-18,1992-05-28,1992-06-26,1992-05-29,1992-06-29,1992-06-01,1992-06-30,,,,first_notice,XCME,,,1.0,6,1992
